epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1688.64,1.59448,1.72547,1.83025,0.46306,0.89724,0.51781,0.31902,1.33215,2.0827,2.01558,0.000549692,0.000549692,0.000549692
2,3360.77,1.34808,1.23261,1.61747,0.30143,0.7738,0.47608,0.322,1.16876,3.57871,1.72955,0.00106888,0.00106888,0.00106888
3,5059.02,1.28693,1.14861,1.57055,0.46476,0.92888,0.53592,0.29861,1.55958,1.25435,2.30882,0.0015514,0.0015514,0.0015514
4,6771.69,1.23199,1.11065,1.52749,0.49953,1,0.55489,0.38645,1.17416,1.11412,1.76723,0.00150197,0.00150197,0.00150197
5,8444.92,1.16954,1.06406,1.47333,0.49854,1,0.56046,0.44699,0.80501,1.06909,1.34406,0.00144696,0.00144696,0.00144696
6,10100.1,1.08603,1.03343,1.4218,0.49167,1,0.54338,0.42368,0.83469,0.94735,1.35622,0.00139195,0.00139195,0.00139195
7,11744.9,1.05734,1.00126,1.39553,0.49968,1,0.55674,0.38763,1.18995,0.92585,1.57671,0.00133693,0.00133693,0.00133693
8,13394.8,1.0239,0.95851,1.36244,0.49958,1,0.5343,0.44041,0.78785,0.89065,1.22869,0.00128192,0.00128192,0.00128192
9,15048.2,0.97545,0.95664,1.34171,0.4995,1,0.54481,0.44726,0.76357,0.86108,1.16929,0.00122691,0.00122691,0.00122691
10,16712.8,0.98703,0.94919,1.34247,0.49966,1,0.55422,0.47002,0.71275,0.86271,1.11946,0.0011719,0.0011719,0.0011719
11,18357.4,0.9564,0.95114,1.32366,0.49939,1,0.53805,0.44495,0.79817,0.92585,1.20275,0.00111689,0.00111689,0.00111689
12,20001.3,0.9042,0.93436,1.29013,0.50129,1,0.55419,0.46739,0.67065,0.83187,1.11077,0.00106188,0.00106188,0.00106188
13,21649.3,0.89925,0.91238,1.29395,0.49928,1,0.58689,0.43545,0.96873,0.91,1.35132,0.00100687,0.00100687,0.00100687
14,23295.9,0.89759,0.91935,1.28906,0.49208,1,0.5757,0.48073,0.67379,0.88996,1.11564,0.000951857,0.000951857,0.000951857
15,24945.3,0.87673,0.89889,1.27074,0.50165,1,0.57547,0.50021,0.58601,0.8312,1.04215,0.000896846,0.000896846,0.000896846
16,26596.5,0.84366,0.88757,1.24154,0.50819,0.99724,0.55605,0.4799,0.63348,0.8637,1.02383,0.000841835,0.000841835,0.000841835
17,28244.7,0.8494,0.8845,1.25725,0.50172,1,0.61649,0.53961,0.55635,0.80628,1.00585,0.000786824,0.000786824,0.000786824
18,29913.1,0.81445,0.87196,1.23268,0.50316,0.99776,0.59843,0.51053,0.58794,0.8079,1.02528,0.000731813,0.000731813,0.000731813
19,31726.3,0.80776,0.86353,1.22936,0.53575,0.94982,0.66787,0.58529,0.54534,0.79691,0.94788,0.000676802,0.000676802,0.000676802
20,33622.2,0.79701,0.84806,1.22884,0.59898,0.80375,0.70812,0.60755,0.58137,0.77457,0.9873,0.000621791,0.000621791,0.000621791
21,35340.5,0.74993,0.77829,1.38596,0.66768,0.86087,0.83089,0.73562,0.52074,0.76824,0.9078,0.00056678,0.00056678,0.00056678
22,36987.5,0.69834,0.6575,1.3301,0.74521,0.88122,0.90425,0.80837,0.49182,0.72525,0.94312,0.000511769,0.000511769,0.000511769
23,38646.2,0.64327,0.50553,1.27248,0.91115,0.92945,0.96836,0.86573,0.48501,0.45364,0.86064,0.000456758,0.000456758,0.000456758
24,40294.3,0.6272,0.4358,1.27947,0.95639,0.95716,0.98911,0.91358,0.42103,0.33732,0.81588,0.000401747,0.000401747,0.000401747
25,41946.8,0.59595,0.38868,1.24549,0.91572,0.96745,0.98587,0.92942,0.33173,0.38179,0.75998,0.000346736,0.000346736,0.000346736
26,43594.9,0.59939,0.37542,1.24358,0.98492,0.98316,0.99005,0.91254,0.43141,0.29493,0.80104,0.000291725,0.000291725,0.000291725
27,45244,0.57827,0.318,1.23492,0.9857,0.98943,0.99102,0.9592,0.31174,0.23468,0.742,0.000236714,0.000236714,0.000236714
28,46914.1,0.54264,0.29987,1.21745,0.96743,0.97909,0.98729,0.95971,0.29603,0.23881,0.72363,0.000181703,0.000181703,0.000181703
29,48569.1,0.51805,0.29281,1.19879,0.98886,0.99347,0.99497,0.95019,0.34612,0.2083,0.73096,0.000126692,0.000126692,0.000126692
30,50221.7,0.51087,0.27899,1.18938,0.99365,0.9931,0.99382,0.95989,0.29952,0.18928,0.70256,7.1681e-05,7.1681e-05,7.1681e-05
